file	line	column	rule	message
docker/frontend/src/lib/api/hooks/useBankAccount.ts	14	39	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBankAccount.ts	33	39	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	13	19	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	112	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	164	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	194	11	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	214	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	246	11	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	268	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	368	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	406	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	474	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	605	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	639	57	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	657	27	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	661	77	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	678	111	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	709	71	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	726	34	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	751	80	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	780	81	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	808	78	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	825	32	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	877	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/hooks/useBroker.ts	903	12	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
